OP_UNIQUE_CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,SERVICE_CLASS,REV_ACRFT_DEP_PERF_510,REV_PAX_ENP_110
9E,Endeavor Air Inc.,15412,K,1198,68330
9E,Endeavor Air Inc.,14457,K,4,254
9E,Endeavor Air Inc.,14321,K,554,31349
9E,Endeavor Air Inc.,10135,K,185,11646
9E,Endeavor Air Inc.,10785,K,724,36034
9E,Endeavor Air Inc.,13296,K,83,3900
9E,Endeavor Air Inc.,13184,K,156,7033
9E,Endeavor Air Inc.,11977,K,101,6554
9E,Endeavor Air Inc.,10990,K,515,21657
9E,Endeavor Air Inc.,11823,K,46,3061
9E,Endeavor Air Inc.,12951,K,190,8966
9E,Endeavor Air Inc.,13577,K,34,2191
9E,Endeavor Air Inc.,10208,K,540,29640
9E,Endeavor Air Inc.,10980,K,309,17158
9E,Endeavor Air Inc.,12945,K,628,40181
9E,Endeavor Air Inc.,11624,K,99,5560
9E,Endeavor Air Inc.,11150,K,353,13900
9E,Endeavor Air Inc.,11308,K,1,44
9E,Endeavor Air Inc.,11617,K,176,7605
9E,Endeavor Air Inc.,11637,K,38,2415
9E,Endeavor Air Inc.,11721,K,166,10832
9E,Endeavor Air Inc.,11973,K,251,16626
9E,Endeavor Air Inc.,10469,K,1,
9E,Endeavor Air Inc.,13433,K,23,1329
9E,Endeavor Air Inc.,15380,K,36,1696
9E,Endeavor Air Inc.,10257,K,103,7358
9E,Endeavor Air Inc.,10874,K,169,11629
9E,Endeavor Air Inc.,10431,K,334,21550
9E,Endeavor Air Inc.,10397,K,11383,665061
9E,Endeavor Air Inc.,15323,K,69,4075
9E,Endeavor Air Inc.,10821,K,680,25512
9E,Endeavor Air Inc.,10781,K,539,33902
9E,Endeavor Air Inc.,10599,K,5,218
9E,Endeavor Air Inc.,14574,K,186,11458
9E,Endeavor Air Inc.,10721,K,1093,68261
9E,Endeavor Air Inc.,10792,K,687,46415
9E,Endeavor Air Inc.,10994,K,21,1296
9E,Endeavor Air Inc.,11057,K,574,28870
9E,Endeavor Air Inc.,13232,K,3,187
9E,Endeavor Air Inc.,13930,K,669,36653
9E,Endeavor Air Inc.,11193,K,3126,170337
9E,Endeavor Air Inc.,11042,K,949,58036
9E,Endeavor Air Inc.,10868,K,192,12779
9E,Endeavor Air Inc.,11066,K,107,6904
9E,Endeavor Air Inc.,11298,K,371,21540
9E,Endeavor Air Inc.,11267,K,265,10378
9E,Endeavor Air Inc.,11423,K,770,47745
9E,Endeavor Air Inc.,11433,K,4954,280174
9E,Endeavor Air Inc.,10408,K,226,14169
9E,Endeavor Air Inc.,11697,K,3,145
9E,Endeavor Air Inc.,14635,K,54,3406
9E,Endeavor Air Inc.,11203,K,427,18241
9E,Endeavor Air Inc.,10685,K,250,15624
9E,Endeavor Air Inc.,11986,K,354,23121
9E,Endeavor Air Inc.,11995,K,235,13392
9E,Endeavor Air Inc.,13230,K,152,6696
9E,Endeavor Air Inc.,10529,K,120,6084
9E,Endeavor Air Inc.,12266,K,282,17391
9E,Endeavor Air Inc.,12217,K,1,
9E,Endeavor Air Inc.,12339,K,691,40324
9E,Endeavor Air Inc.,12448,K,1,
9E,Endeavor Air Inc.,12451,K,303,19078
9E,Endeavor Air Inc.,13198,K,474,27544
9E,Endeavor Air Inc.,12992,K,24,1232
9E,Endeavor Air Inc.,14730,K,40,2432
9E,Endeavor Air Inc.,13485,K,220,14846
9E,Endeavor Air Inc.,13244,K,440,28294
9E,Endeavor Air Inc.,13303,K,7,430
9E,Endeavor Air Inc.,13342,K,141,9139
9E,Endeavor Air Inc.,13487,K,3384,208972
9E,Endeavor Air Inc.,13367,K,267,16469
9E,Endeavor Air Inc.,13277,K,2,10
9E,Endeavor Air Inc.,10693,K,271,16992
9E,Endeavor Air Inc.,15070,K,1,
9E,Endeavor Air Inc.,13495,K,59,3653
9E,Endeavor Air Inc.,12478,K,6189,361507
9E,Endeavor Air Inc.,10185,K,337,13244
9E,Endeavor Air Inc.,12953,K,6181,355048
9E,Endeavor Air Inc.,11618,K,109,7455
9E,Endeavor Air Inc.,13931,K,789,39711
9E,Endeavor Air Inc.,15919,K,613,34227
9E,Endeavor Air Inc.,13871,K,74,4345
9E,Endeavor Air Inc.,11953,K,396,20913
9E,Endeavor Air Inc.,13204,K,6,416
9E,Endeavor Air Inc.,13795,K,341,16572
9E,Endeavor Air Inc.,14108,K,1,
9E,Endeavor Air Inc.,14100,K,514,23090
9E,Endeavor Air Inc.,14122,K,745,42171
9E,Endeavor Air Inc.,14307,K,2,
9E,Endeavor Air Inc.,14492,K,1637,93640
9E,Endeavor Air Inc.,14524,K,326,14026
9E,Endeavor Air Inc.,14633,K,159,9678
9E,Endeavor Air Inc.,14576,K,382,22428
9E,Endeavor Air Inc.,15016,K,187,8806
9E,Endeavor Air Inc.,14683,K,36,2415
9E,Endeavor Air Inc.,14814,K,395,18355
9E,Endeavor Air Inc.,11775,K,1,
9E,Endeavor Air Inc.,15096,K,396,18853
9E,Endeavor Air Inc.,15304,K,89,5163
9E,Endeavor Air Inc.,15370,K,247,15584
9E,Endeavor Air Inc.,12264,K,338,14945
9E,Endeavor Air Inc.,11278,K,448,26591
9E,Endeavor Air Inc.,14027,K,8,560
9E,Endeavor Air Inc.,12197,K,441,28903
9E,Endeavor Air Inc.,10423,K,137,9352
9E,Endeavor Air Inc.,11996,K,271,16529
9E,Endeavor Air Inc.,14685,K,333,19586
9E,Endeavor Air Inc.,14696,K,2,
9E,Endeavor Air Inc.,14783,K,390,24470
9E,Endeavor Air Inc.,15249,K,499,32573
9E,Endeavor Air Inc.,11337,K,1,
9E,Endeavor Air Inc.,13422,K,385,17265
9E,Endeavor Air Inc.,14098,K,207,13094
9E,Endeavor Air Inc.,10581,K,337,16466
9E,Endeavor Air Inc.,13029,K,78,4976
9E,Endeavor Air Inc.,13541,K,44,1942
9E,Endeavor Air Inc.,11003,K,291,17711
9E,Endeavor Air Inc.,10154,K,44,1833
9E,Endeavor Air Inc.,11612,K,604,25403
9E,Endeavor Air Inc.,15412,K,1193,65230
9E,Endeavor Air Inc.,14457,K,12,753
9E,Endeavor Air Inc.,14321,K,636,35866
9E,Endeavor Air Inc.,10135,K,165,10805
9E,Endeavor Air Inc.,10785,K,775,39922
9E,Endeavor Air Inc.,13296,K,85,3442
9E,Endeavor Air Inc.,13184,K,205,10467
9E,Endeavor Air Inc.,11977,K,309,20264
9E,Endeavor Air Inc.,10990,K,528,20820
9E,Endeavor Air Inc.,11823,K,70,4578
9E,Endeavor Air Inc.,12951,K,218,9677
9E,Endeavor Air Inc.,13577,K,80,5468
9E,Endeavor Air Inc.,10208,K,549,26998
9E,Endeavor Air Inc.,10980,K,368,20306
9E,Endeavor Air Inc.,12945,K,718,44653
9E,Endeavor Air Inc.,11624,K,2,58
9E,Endeavor Air Inc.,11150,K,342,13695
9E,Endeavor Air Inc.,10627,K,47,2793
9E,Endeavor Air Inc.,11617,K,182,7620
9E,Endeavor Air Inc.,11637,K,1,47
9E,Endeavor Air Inc.,11721,K,171,11314
9E,Endeavor Air Inc.,11898,K,1,
9E,Endeavor Air Inc.,11973,K,295,19153
9E,Endeavor Air Inc.,12884,K,98,3959
9E,Endeavor Air Inc.,13433,K,64,3851
9E,Endeavor Air Inc.,15380,K,19,1238
9E,Endeavor Air Inc.,11433,V,1,
9E,Endeavor Air Inc.,13487,V,1,
9E,Endeavor Air Inc.,11278,V,2,34
9E,Endeavor Air Inc.,14150,V,2,34
9E,Endeavor Air Inc.,10257,K,35,2119
9E,Endeavor Air Inc.,10874,K,178,11987
9E,Endeavor Air Inc.,10431,K,469,28714
9E,Endeavor Air Inc.,10397,K,10507,610931
9E,Endeavor Air Inc.,15323,K,82,5419
9E,Endeavor Air Inc.,11146,K,45,1636
9E,Endeavor Air Inc.,11537,K,11,760
9E,Endeavor Air Inc.,10821,K,672,24972
9E,Endeavor Air Inc.,10781,K,625,38203
9E,Endeavor Air Inc.,11641,K,31,1863
9E,Endeavor Air Inc.,10599,K,77,5076
9E,Endeavor Air Inc.,14574,K,231,13482
9E,Endeavor Air Inc.,10721,K,1083,64068
9E,Endeavor Air Inc.,10792,K,629,37773
9E,Endeavor Air Inc.,12323,K,10,615
9E,Endeavor Air Inc.,10994,K,218,14187
9E,Endeavor Air Inc.,11057,K,685,31045
9E,Endeavor Air Inc.,13232,K,7,402
9E,Endeavor Air Inc.,13930,K,461,23716
9E,Endeavor Air Inc.,11193,K,2700,141828
9E,Endeavor Air Inc.,11042,K,1080,63454
9E,Endeavor Air Inc.,10868,K,164,8955
9E,Endeavor Air Inc.,11066,K,188,12060
9E,Endeavor Air Inc.,11298,K,366,22862
9E,Endeavor Air Inc.,11267,K,244,10041
9E,Endeavor Air Inc.,11423,K,832,53250
9E,Endeavor Air Inc.,11433,K,4564,249570
9E,Endeavor Air Inc.,10408,K,145,8135
9E,Endeavor Air Inc.,14635,K,148,9345
9E,Endeavor Air Inc.,11203,K,387,15562
9E,Endeavor Air Inc.,10685,K,249,15957
9E,Endeavor Air Inc.,11986,K,433,27129
9E,Endeavor Air Inc.,11995,K,454,25102
9E,Endeavor Air Inc.,13230,K,137,6430
9E,Endeavor Air Inc.,10529,K,175,8834
9E,Endeavor Air Inc.,12266,K,251,15283
9E,Endeavor Air Inc.,12217,K,52,3349
9E,Endeavor Air Inc.,12339,K,648,38073
9E,Endeavor Air Inc.,12448,K,67,4425
9E,Endeavor Air Inc.,12451,K,383,22607
9E,Endeavor Air Inc.,13198,K,438,23564
9E,Endeavor Air Inc.,12992,K,30,2185
9E,Endeavor Air Inc.,14730,K,70,4159
9E,Endeavor Air Inc.,13485,K,313,18297
9E,Endeavor Air Inc.,13244,K,354,22208
9E,Endeavor Air Inc.,13303,K,1,
9E,Endeavor Air Inc.,13342,K,168,9629
9E,Endeavor Air Inc.,13487,K,3635,220076
9E,Endeavor Air Inc.,13367,K,253,15985
9E,Endeavor Air Inc.,13277,K,2,69
9E,Endeavor Air Inc.,10693,K,309,20351
9E,Endeavor Air Inc.,15070,K,1,1
9E,Endeavor Air Inc.,13495,K,18,992
9E,Endeavor Air Inc.,12478,K,5368,295348
9E,Endeavor Air Inc.,10185,K,337,13624
9E,Endeavor Air Inc.,12953,K,7635,415386
9E,Endeavor Air Inc.,11618,K,261,15610
9E,Endeavor Air Inc.,13931,K,667,28448
9E,Endeavor Air Inc.,15919,K,566,33001
9E,Endeavor Air Inc.,13851,K,1,
9E,Endeavor Air Inc.,13871,K,196,11177
9E,Endeavor Air Inc.,11953,K,373,18797
9E,Endeavor Air Inc.,13204,K,22,1350
9E,Endeavor Air Inc.,13795,K,325,15084
9E,Endeavor Air Inc.,14100,K,486,20795
9E,Endeavor Air Inc.,14122,K,896,49569
9E,Endeavor Air Inc.,14492,K,2154,128004
9E,Endeavor Air Inc.,14524,K,681,36509
9E,Endeavor Air Inc.,14633,K,151,9574
9E,Endeavor Air Inc.,14576,K,477,26415
9E,Endeavor Air Inc.,15016,K,396,22816
9E,Endeavor Air Inc.,14814,K,222,11716
9E,Endeavor Air Inc.,11775,K,29,2027
9E,Endeavor Air Inc.,15096,K,409,20129
9E,Endeavor Air Inc.,15304,K,211,13144
9E,Endeavor Air Inc.,15370,K,150,9869
9E,Endeavor Air Inc.,12264,K,337,15264
9E,Endeavor Air Inc.,11278,K,299,18089
9E,Endeavor Air Inc.,12197,K,267,16072
9E,Endeavor Air Inc.,10423,K,116,8038
9E,Endeavor Air Inc.,11996,K,268,16099
9E,Endeavor Air Inc.,14685,K,307,19089
9E,Endeavor Air Inc.,14783,K,341,22006
9E,Endeavor Air Inc.,15249,K,206,13115
9E,Endeavor Air Inc.,13422,K,138,5881
9E,Endeavor Air Inc.,14098,K,180,12185
9E,Endeavor Air Inc.,10581,K,267,11308
9E,Endeavor Air Inc.,13029,K,64,4183
9E,Endeavor Air Inc.,11003,K,247,16186
9E,Endeavor Air Inc.,11612,K,536,23537
9E,Endeavor Air Inc.,15412,K,1152,61765
9E,Endeavor Air Inc.,14321,K,521,28988
9E,Endeavor Air Inc.,10135,K,156,10575
9E,Endeavor Air Inc.,10785,K,672,32333
9E,Endeavor Air Inc.,13296,K,75,2899
9E,Endeavor Air Inc.,13184,K,108,5532
9E,Endeavor Air Inc.,11977,K,395,23541
9E,Endeavor Air Inc.,10990,K,505,20947
9E,Endeavor Air Inc.,11823,K,69,4788
9E,Endeavor Air Inc.,12951,K,260,12347
9E,Endeavor Air Inc.,13577,K,28,2039
9E,Endeavor Air Inc.,12206,K,11,604
9E,Endeavor Air Inc.,10208,K,467,25229
9E,Endeavor Air Inc.,10980,K,274,16148
9E,Endeavor Air Inc.,12945,K,659,40170
9E,Endeavor Air Inc.,13377,K,3,16
9E,Endeavor Air Inc.,11624,K,62,3770
9E,Endeavor Air Inc.,11150,K,305,12726
9E,Endeavor Air Inc.,10627,K,30,1901
9E,Endeavor Air Inc.,11617,K,180,7459
9E,Endeavor Air Inc.,11637,K,92,4868
9E,Endeavor Air Inc.,11721,K,176,11870
9E,Endeavor Air Inc.,11973,K,284,18892
9E,Endeavor Air Inc.,13076,K,2,
9E,Endeavor Air Inc.,12884,K,225,10415
9E,Endeavor Air Inc.,13433,K,19,896
9E,Endeavor Air Inc.,15380,K,89,5942
9E,Endeavor Air Inc.,15624,K,37,2495
9K,Cape Air,10257,K,481,2226
9K,Cape Air,13832,K,231,1165
9K,Cape Air,10620,K,1085,4994
9K,Cape Air,10721,K,3013,11541
9K,Cape Air,15024,K,1193,7456
9K,Cape Air,13930,K,265,1059
9K,Cape Air,13862,K,169,878
9K,Cape Air,15027,K,1108,6799
9K,Cape Air,12250,K,743,1300
9K,Cape Air,11615,K,148,572
9K,Cape Air,12478,K,80,330
9K,Cape Air,11879,K,169,593
9K,Cape Air,15016,K,1201,4863
9K,Cape Air,14843,K,2646,14014
9K,Cape Air,12197,K,155,699
9K,Cape Air,10589,K,257,1087
9K,Cape Air,14539,K,245,974
9K,Cape Air,14306,K,198,708
9K,Cape Air,15626,K,657,3566
9K,Cape Air,13983,K,242,915
9K,Cape Air,11288,K,419,1778
9K,Cape Air,15138,K,147,549
9K,Cape Air,13541,K,352,1334
9K,Cape Air,10154,K,1353,4705
9K,Cape Air,14875,K,233,887
9K,Cape Air,13176,K,354,1904
9K,Cape Air,13543,K,441,2090
9K,Cape Air,11908,K,164,814
9K,Cape Air,10414,K,241,830
9K,Cape Air,12932,K,475,1986
9K,Cape Air,12375,K,217,929
9K,Cape Air,14648,K,244,1186
9K,Cape Air,12245,K,159,722
9K,Cape Air,14745,K,405,2152
9K,Cape Air,10257,K,195,975
9K,Cape Air,13832,K,93,522
9K,Cape Air,10620,K,1181,5738
9K,Cape Air,10721,K,4430,22381
9K,Cape Air,15024,K,1320,8469
9K,Cape Air,13930,K,291,1297
9K,Cape Air,13862,K,182,965
9K,Cape Air,15027,K,1188,7630
9K,Cape Air,12250,K,1179,1816
9K,Cape Air,11615,K,192,851
9K,Cape Air,12478,K,40,207
9K,Cape Air,11879,K,180,629
9K,Cape Air,15016,K,1166,5671
9K,Cape Air,14843,K,3214,14966
9K,Cape Air,12197,K,282,1363
9K,Cape Air,10589,K,192,971
9K,Cape Air,14539,K,305,1412
9K,Cape Air,14306,K,448,1963
9K,Cape Air,15626,K,559,2272
9K,Cape Air,13983,K,271,1250
9K,Cape Air,11126,K,293,948
9K,Cape Air,11288,K,461,2223
9K,Cape Air,15138,K,0,0
9K,Cape Air,13541,K,859,3725
9K,Cape Air,10154,K,2433,9595
9K,Cape Air,14875,K,261,1128
9K,Cape Air,13176,K,366,1904
9K,Cape Air,13543,K,459,2606
9K,Cape Air,11908,K,182,1055
9K,Cape Air,10414,K,304,1155
9K,Cape Air,12932,K,535,2534
9K,Cape Air,12375,K,266,1324
9K,Cape Air,14648,K,269,1500
9K,Cape Air,12245,K,182,844
9K,Cape Air,14745,K,452,2559
9K,Cape Air,10620,K,1196,5877
9K,Cape Air,10721,K,6316,34258
9K,Cape Air,15024,K,1294,8514
9K,Cape Air,13930,K,303,1361
9K,Cape Air,13862,K,187,1004
9K,Cape Air,15027,K,1317,8730
9K,Cape Air,12250,K,1888,3593
9K,Cape Air,11615,K,429,2141
9K,Cape Air,12478,K,15,65
9K,Cape Air,11879,K,181,660
9K,Cape Air,15016,K,1209,6297
9K,Cape Air,14843,K,3112,15074
9K,Cape Air,12197,K,641,2464
9K,Cape Air,10589,K,151,1024
9K,Cape Air,14539,K,486,2961
9K,Cape Air,14306,K,1105,6140
9K,Cape Air,15626,K,515,2187
9K,Cape Air,13983,K,279,1645
9K,Cape Air,11126,K,250,855
9K,Cape Air,11288,K,483,2286
9K,Cape Air,13541,K,1760,8617
9K,Cape Air,10154,K,3825,16470
9K,Cape Air,14875,K,273,1734
9K,Cape Air,13176,K,362,1873
9K,Cape Air,13543,K,476,2804
9K,Cape Air,14321,K,54,223
9K,Cape Air,11908,K,186,1129
9K,Cape Air,10414,K,367,2183
9K,Cape Air,12932,K,542,2773
9K,Cape Air,12375,K,275,1443
9K,Cape Air,14648,K,272,1608
9K,Cape Air,12245,K,182,902
9K,Cape Air,14745,K,459,2501
9K,Cape Air,10620,K,1158,5731
9K,Cape Air,10721,K,3920,17610
9K,Cape Air,15024,K,1357,8431
9K,Cape Air,13930,K,302,1401
9K,Cape Air,13862,K,180,974
9K,Cape Air,15027,K,1545,9504
9K,Cape Air,12250,K,1158,2347
9K,Cape Air,11615,K,200,656
9K,Cape Air,12478,K,161,727
9K,Cape Air,11879,K,172,686
9K,Cape Air,15016,K,1186,6149
9K,Cape Air,14843,K,3484,20033
9K,Cape Air,12197,K,178,978
9K,Cape Air,10589,K,258,1465
9K,Cape Air,14539,K,273,1383
9K,Cape Air,14306,K,365,1621
9K,Cape Air,15626,K,592,2290
9K,Cape Air,13983,K,271,1374
9K,Cape Air,11126,K,283,1286
9K,Cape Air,11288,K,479,2198
9K,Cape Air,13541,K,701,2852
9K,Cape Air,10154,K,2116,8171
9K,Cape Air,14875,K,246,986
9K,Cape Air,13176,K,369,1988
9K,Cape Air,13543,K,473,2866
9K,Cape Air,14321,K,327,1300
9K,Cape Air,11908,K,180,1003
9K,Cape Air,10414,K,263,1245
9K,Cape Air,12932,K,496,2798
9K,Cape Air,12375,K,266,1548
9K,Cape Air,14648,K,242,1170
9K,Cape Air,12245,K,176,875
9K,Cape Air,14745,K,450,2520
9S,Southern Air Inc.,11193,V,438,0
9S,Southern Air Inc.,11292,V,70,0
9S,Southern Air Inc.,11433,V,1,0
9S,Southern Air Inc.,12266,V,1,0
9S,Southern Air Inc.,13198,V,36,0
9S,Southern Air Inc.,12892,V,65,0
9S,Southern Air Inc.,13303,V,20,0
9S,Southern Air Inc.,13342,V,123,0
9S,Southern Air Inc.,13295,V,63,0
9S,Southern Air Inc.,12478,V,9,0
9S,Southern Air Inc.,13871,V,65,0
9S,Southern Air Inc.,14512,V,2,0
9S,Southern Air Inc.,15016,V,125,0
9S,Southern Air Inc.,14869,V,123,0
9S,Southern Air Inc.,14683,V,2,0
9S,Southern Air Inc.,13061,V,1,0
9S,Southern Air Inc.,10299,V,84,0
9S,Southern Air Inc.,11003,V,56,0
9S,Southern Air Inc.,11193,V,468,0
9S,Southern Air Inc.,11292,V,67,0
9S,Southern Air Inc.,12266,V,5,0
9S,Southern Air Inc.,13198,V,67,0
9S,Southern Air Inc.,12892,V,65,0
9S,Southern Air Inc.,13303,V,18,0
9S,Southern Air Inc.,13342,V,129,0
9S,Southern Air Inc.,13295,V,20,0
9S,Southern Air Inc.,12478,V,11,0
9S,Southern Air Inc.,13871,V,62,0
9S,Southern Air Inc.,14057,V,59,0
9S,Southern Air Inc.,14512,V,123,0
9S,Southern Air Inc.,15016,V,120,0
9S,Southern Air Inc.,14869,V,84,0
9S,Southern Air Inc.,15304,V,70,0
9S,Southern Air Inc.,13788,V,13,0
9S,Southern Air Inc.,10299,V,87,0
9S,Southern Air Inc.,13360,V,5,0
9S,Southern Air Inc.,11003,V,124,0
9S,Southern Air Inc.,14004,V,2,0
9S,Southern Air Inc.,11193,V,406,0
9S,Southern Air Inc.,11292,V,67,0
9S,Southern Air Inc.,12266,V,109,0
9S,Southern Air Inc.,13198,V,1,0
9S,Southern Air Inc.,12892,V,65,0
9S,Southern Air Inc.,13303,V,12,0
9S,Southern Air Inc.,13342,V,128,0
9S,Southern Air Inc.,12478,V,13,0
9S,Southern Air Inc.,13871,V,65,0
9S,Southern Air Inc.,14057,V,88,0
9S,Southern Air Inc.,14512,V,242,0
9S,Southern Air Inc.,15016,V,128,0
9S,Southern Air Inc.,14869,V,64,0
9S,Southern Air Inc.,14747,V,1,0
9S,Southern Air Inc.,13061,V,1,0
9S,Southern Air Inc.,15304,V,107,0
9S,Southern Air Inc.,13788,V,1,0
9S,Southern Air Inc.,10299,V,101,0
9S,Southern Air Inc.,13360,V,1,0
9S,Southern Air Inc.,11057,V,28,0
9S,Southern Air Inc.,13930,V,21,0
9S,Southern Air Inc.,11193,V,289,0
9S,Southern Air Inc.,11292,V,33,0
9S,Southern Air Inc.,12266,V,116,0
9S,Southern Air Inc.,12892,V,45,0
9S,Southern Air Inc.,13303,V,32,0
9S,Southern Air Inc.,13342,V,88,0
9S,Southern Air Inc.,12478,V,28,0
9S,Southern Air Inc.,13871,V,45,0
9S,Southern Air Inc.,14057,V,102,0
9S,Southern Air Inc.,14512,V,188,0
9S,Southern Air Inc.,15016,V,88,0
9S,Southern Air Inc.,14869,V,47,0
9S,Southern Air Inc.,13061,V,1,0
9S,Southern Air Inc.,15304,V,119,0
9S,Southern Air Inc.,15370,V,23,0
9S,Southern Air Inc.,10299,V,93,0
9S,Southern Air Inc.,13360,V,1,0
9X,"Southern Airways Express, dba Mokulele Airlines",10821,K,773,1567
9X,"Southern Airways Express, dba Mokulele Airlines",10434,K,27,56
9X,"Southern Airways Express, dba Mokulele Airlines",13282,K,464,1090
9X,"Southern Airways Express, dba Mokulele Airlines",11298,K,582,2501
9X,"Southern Airways Express, dba Mokulele Airlines",12119,K,289,577
9X,"Southern Airways Express, dba Mokulele Airlines",10557,K,269,731
9X,"Southern Airways Express, dba Mokulele Airlines",13244,K,141,369
9X,"Southern Airways Express, dba Mokulele Airlines",13032,K,361,1121
9X,"Southern Airways Express, dba Mokulele Airlines",10693,K,46,83
9X,"Southern Airways Express, dba Mokulele Airlines",11441,K,456,1151
9X,"Southern Airways Express, dba Mokulele Airlines",12190,K,224,1046
9X,"Southern Airways Express, dba Mokulele Airlines",14122,K,1614,3803
9X,"Southern Airways Express, dba Mokulele Airlines",15304,K,195,784
9X,"Southern Airways Express, dba Mokulele Airlines",14027,K,264,1027
9X,"Southern Airways Express, dba Mokulele Airlines",10322,K,296,602
9X,"Southern Airways Express, dba Mokulele Airlines",11421,K,8,19
9X,"Southern Airways Express, dba Mokulele Airlines",12207,K,221,1064
9X,"Southern Airways Express, dba Mokulele Airlines",11624,K,66,216
9X,"Southern Airways Express, dba Mokulele Airlines",11531,K,223,765
9X,"Southern Airways Express, dba Mokulele Airlines",11684,K,229,385
9X,"Southern Airways Express, dba Mokulele Airlines",10821,K,836,1989
9X,"Southern Airways Express, dba Mokulele Airlines",13282,K,493,1455
9X,"Southern Airways Express, dba Mokulele Airlines",13984,K,12,17
9X,"Southern Airways Express, dba Mokulele Airlines",11298,K,546,2789
9X,"Southern Airways Express, dba Mokulele Airlines",12119,K,305,844
9X,"Southern Airways Express, dba Mokulele Airlines",10557,K,310,939
9X,"Southern Airways Express, dba Mokulele Airlines",13244,K,304,1059
9X,"Southern Airways Express, dba Mokulele Airlines",13032,K,389,1382
9X,"Southern Airways Express, dba Mokulele Airlines",10693,K,124,309
9X,"Southern Airways Express, dba Mokulele Airlines",11441,K,492,1312
9X,"Southern Airways Express, dba Mokulele Airlines",12190,K,227,1173
9X,"Southern Airways Express, dba Mokulele Airlines",14122,K,1734,4892
9X,"Southern Airways Express, dba Mokulele Airlines",14307,K,13,17
9X,"Southern Airways Express, dba Mokulele Airlines",15304,K,224,784
9X,"Southern Airways Express, dba Mokulele Airlines",14027,K,232,930
9X,"Southern Airways Express, dba Mokulele Airlines",10154,K,31,41
9X,"Southern Airways Express, dba Mokulele Airlines",10322,K,335,837
9X,"Southern Airways Express, dba Mokulele Airlines",12244,K,7,16
9X,"Southern Airways Express, dba Mokulele Airlines",11421,K,58,183
9X,"Southern Airways Express, dba Mokulele Airlines",12207,K,229,1227
9X,"Southern Airways Express, dba Mokulele Airlines",11624,K,27,110
9X,"Southern Airways Express, dba Mokulele Airlines",11531,K,227,1024
9X,"Southern Airways Express, dba Mokulele Airlines",11684,K,246,523
9X,"Southern Airways Express, dba Mokulele Airlines",10821,K,849,2677
9X,"Southern Airways Express, dba Mokulele Airlines",13282,K,499,2046
9X,"Southern Airways Express, dba Mokulele Airlines",13984,K,65,252
9X,"Southern Airways Express, dba Mokulele Airlines",11298,K,541,3005
9X,"Southern Airways Express, dba Mokulele Airlines",12119,K,315,1101
9X,"Southern Airways Express, dba Mokulele Airlines",10557,K,318,1375
9X,"Southern Airways Express, dba Mokulele Airlines",13244,K,369,1320
9X,"Southern Airways Express, dba Mokulele Airlines",13032,K,393,1500
9X,"Southern Airways Express, dba Mokulele Airlines",10693,K,160,467
9X,"Southern Airways Express, dba Mokulele Airlines",11441,K,499,1736
9X,"Southern Airways Express, dba Mokulele Airlines",12190,K,237,1317
9X,"Southern Airways Express, dba Mokulele Airlines",14122,K,1765,6142
9X,"Southern Airways Express, dba Mokulele Airlines",14307,K,82,259
9X,"Southern Airways Express, dba Mokulele Airlines",15304,K,231,890
9X,"Southern Airways Express, dba Mokulele Airlines",14027,K,224,839
9X,"Southern Airways Express, dba Mokulele Airlines",10154,K,174,558
9X,"Southern Airways Express, dba Mokulele Airlines",10322,K,342,1096
9X,"Southern Airways Express, dba Mokulele Airlines",12244,K,32,67
9X,"Southern Airways Express, dba Mokulele Airlines",11421,K,72,303
9X,"Southern Airways Express, dba Mokulele Airlines",12207,K,239,1349
9X,"Southern Airways Express, dba Mokulele Airlines",11624,K,24,58
9X,"Southern Airways Express, dba Mokulele Airlines",11531,K,237,1128
9X,"Southern Airways Express, dba Mokulele Airlines",11684,K,251,653
9X,"Southern Airways Express, dba Mokulele Airlines",10821,K,666,2255
9X,"Southern Airways Express, dba Mokulele Airlines",13282,K,486,2104
9X,"Southern Airways Express, dba Mokulele Airlines",13984,K,9,25
9X,"Southern Airways Express, dba Mokulele Airlines",11298,K,529,2964
9X,"Southern Airways Express, dba Mokulele Airlines",12119,K,68,237
9X,"Southern Airways Express, dba Mokulele Airlines",10557,K,290,1222
9X,"Southern Airways Express, dba Mokulele Airlines",13244,K,328,1295
9X,"Southern Airways Express, dba Mokulele Airlines",13032,K,389,1580
9X,"Southern Airways Express, dba Mokulele Airlines",10693,K,139,491
9X,"Southern Airways Express, dba Mokulele Airlines",11441,K,480,1626
9X,"Southern Airways Express, dba Mokulele Airlines",12190,K,234,1288
9X,"Southern Airways Express, dba Mokulele Airlines",14122,K,1419,5151
9X,"Southern Airways Express, dba Mokulele Airlines",14307,K,14,41
9X,"Southern Airways Express, dba Mokulele Airlines",15304,K,230,1016
9X,"Southern Airways Express, dba Mokulele Airlines",14027,K,220,984
9X,"Southern Airways Express, dba Mokulele Airlines",10154,K,28,83
9X,"Southern Airways Express, dba Mokulele Airlines",10322,K,333,1116
9X,"Southern Airways Express, dba Mokulele Airlines",12244,K,4,8
9X,"Southern Airways Express, dba Mokulele Airlines",11421,K,49,217
9X,"Southern Airways Express, dba Mokulele Airlines",12207,K,229,1283
9X,"Southern Airways Express, dba Mokulele Airlines",11624,K,14,35
